observation_date,CPALTT01JPQ657N
1994-04-01,0.4878048780487960756069298895
1994-07-01,-0.3120665742024970046308851579
1994-10-01,0.5217391304347600566870823968
1995-01-01,-0.4844290657439260239236489269
1995-04-01,0.2433936022252979891611346375
1995-07-01,-0.2428026361429030111072080445
1995-10-01,-0.0695410292072246027927917567
1996-01-01,-0.2783576896311799053762570111
1996-04-01,0.7327285415212850816502054840
1996-07-01,-0.1731901627987569025624026153
1996-10-01,0.2775850104094420012224020411
1997-01-01,-0.2422145328719799983741012284
1997-04-01,2.1158515435310700780746628880
1997-07-01,-0.0339673913043666980682289136
1997-10-01,0.2718314644920188927201820661
1998-01-01,-0.4066418163334469815239913260
1998-04-01,0.5103776794828179808050094834
1998-07-01,-0.5754908598510419803773174863
1998-10-01,1.0214504596526801094569236739
1999-01-01,-1.0448264239972899769526293312
1999-04-01,0.3405994550408569798705116227
1999-07-01,-0.3054989816700389160253337195
1999-10-01,0.0000000000000000000000000000
2000-01-01,-0.6469186244467219903953036919
2000-04-01,0.2398903358464780088965540017
